dataset_name,description,resource_type,metadata_created_date,identifier,doi,publisher,maintainer,a_id,data_last_modified,public_access,data_first_published
Department of Agriculture Inventory of Artificial Intelligence Use Cases,"This dataset is an inventory of the uses of artificial intelligence (AI) at USDA. The inventory was developed and published as required by OMB M-24-10, ""Advancing Governance, Innovation, and Risk...",Dataset,"January 1, 2025",USDA-OCIO-0001,Not available,Departmental Management,Christopher Alvares,Not available,2024-12-31,public,2024-12-16
Mars surface image (Curiosity rover) labeled data set version 1,"This data set consists of 6691 images spanning 24 classes that were collected by the Mars Science Laboratory (MSL, Curosity) rover by three instruments (Mastcam Right eye, Mastcam Left eye,...",Dataset,"November 12, 2020",https://data.nasa.gov/api/views/cjex-ucks,Not available,NASA,Steven Lu,Not available,2023-01-31,public,2020-01-22
"Airfoil Computational Fluid Dynamics - 2k shapes, 25 AoA's, 3 Re numbers","This dataset contains aerodynamic quantities - including flow field values (momentum, energy, and vorticity) and summary values (coefficients of lift, drag, and momentum) - for 1,830 airfoil shapes computed using...",Dataset,"October 14, 2023",https://data.openei.org/submissions/5970,Not available,National Renewable Energy Laboratory (NREL),Ryan King,Not available,2024-01-02T18:21:46Z,public,2023-02-10T07:00:00Z
BuildingsBench: A Large-Scale Dataset of 900K Buildings and Benchmark for Short-Term Load Forecasting,The BuildingsBench datasets consist of:,Dataset,"June 23, 2023",https://data.openei.org/submissions/5859,Not available,National Renewable Energy Laboratory,Patrick Emami,Not available,2024-01-11T07:00:01Z,public,2018-12-31T07:00:00Z
BUTTER-E - Energy Consumption Data for the BUTTER Empirical Deep Learning Dataset,The BUTTER-E - Energy Consumption Data for the BUTTER Empirical Deep Learning Dataset adds node-level energy consumption data from watt-meters to the primary sweep of the BUTTER - Empirical Deep...,Dataset,"March 28, 2024",https://data.openei.org/submissions/5991,Not available,National Renewable Energy Laboratory,Charles Tripp,Not available,2024-10-07T15:12:02Z,public,2022-12-30T07:00:00Z
"Airfoil Computational Fluid Dynamics - 9k shapes, 2 AoA's","This dataset contains aerodynamic quantities - including flow field values (momentum, energy, and vorticity) and summary values (coefficients of lift, drag, and momentum) - for 8,996 airfoil shapes, computed using...",Dataset,"October 14, 2023",https://data.openei.org/submissions/5889,Not available,National Renewable Energy Laboratory (NREL),Ryan King,Not available,2024-01-02T18:23:19Z,public,2023-02-10T07:00:00Z
Enriched Citation API (Version 2),"The Enriched Citation API provides the Intellectual Property 5 (IP5 - EPO, JPO, KIPO, CNIPA, and USPTO) and the Public with greater insight into the patent evaluation process. It allows...",Not available,"July 15, 2022",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
QFlow 2.0: Quantum dot data for machine learning,"Using a modified Thomas-Fermi approximation, we model a reference semiconductor system comprising a quasi-1D nanowire with a series of five depletion gates whose voltages determine the number of quantum dots...",Dataset,"March 11, 2021",66492819760D3FF6E05324570681BA721894,Not available,National Institute of Standards and Technology,Justyna Zwolak,Not available,2022-02-18 00:00:00,public,Not available
Lake Erie HABs Modeling Dataset,The dataset include hydroclimate and ambient environmental as the input data and Cyanobacterial HABs Index (CI) calculated from satellite imageries as the output data altogether used to train and validate...,Dataset,"June 25, 2023",https://doi.org/10.23719/1528991,Not available,U.S. EPA Office of Research and Development (ORD),Mohamed Hantush,Not available,2022-10-15,public,Not available
Dataset for Evaluation of Extreme Weather Impacts on Utility-Scale Photovoltaic Plant Performance in the United States,"This dataset is a fusion of three data types (operations and maintenance tickets, weather data, and production data) that was used to support machine learning analysis and evaluation of drivers...",Dataset,"July 22, 2021",https://data.openei.org/submissions/4055,Not available,Sandia National Laboratories,Thushara Gunda,Not available,2024-06-14T15:17:14Z,public,2021-04-01T06:00:00Z
Executive Branch Artificial Intelligence System Inventory,"Public Act No. 23-16, Section 1, effective July 1, 2023, directs the Department of Administrative Services to conduct an annual inventory of all systems that employ artificial intelligence and are...",Dataset,"January 5, 2024",https://data.ct.gov/api/views/8kut-uzcx,Not available,data.ct.gov,Tom Armstrong,Not available,2024-12-24,public,2024-12-24
Chemical Function Predictions for Tox21 Chemicals,"Random forest chemical function predictions for Tox21 chemicals in personal care products uses and ""other"" uses.",Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Noise Datasets for Evaluating Deep Generative Models,"Synthetic training and test datasets for experiments on deep generative modeling of noise time series. Consists of data for the following noise types: 1) band-limited thermal noise, i.e., bandpass filtered...",Not available,"June 27, 2023",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chesapeake Bay Nitrogen Trend Predictor Dataset,"Please review Zhang et al. (2021) for details on study design and datasets (https://doi.org/10.1016/j.watres.2022.118443). In summary, predictor and response variable data was acquired from the Chesapeake Bay Program and USGS....",Not available,"January 8, 2023",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
G2Aero Database of Airfoils - Curated Airfoils,"This dataset contains a curated set of 19,164 airfoil shapes from various applications and the data-driven design space of separable shape tensors (PGA space), which can be used as a...",Dataset,"October 1, 2024",https://data.openei.org/submissions/6198,Not available,National Renewable Energy Lab - NREL,Olga Doronina,Not available,2024-09-30T16:22:01Z,public,2024-09-24T06:00:00Z
Mars orbital image (HiRISE) labeled data set version 3,"This data set contains a total of 73,031 landmarks. 10,433 landmarks were detected and extracted from 180 HiRISE browse images, and 62,598 landmarks were augmented from 10,433 original landmarks. For...",Dataset,"December 1, 2022",https://data.nasa.gov/api/views/egmv-36wq,Not available,NASA JPL,NA,Not available,2023-01-31,public,2020-01-22
Enriched Citation API (Version 1),"The Enriched Citation API provides the Intellectual Property 5 (IP5 - EPO, JPO, KIPO, CNIPA, and USPTO) and the Public with greater insight into the patent evaluation process. It allows...",Not available,"July 15, 2022",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
The National Artificial Intelligence Research and Development Strategic Plan: 2019 Update,"Artificial intelligence (AI) holds tremendous promise to benefit nearly all aspects of society, including the economy, healthcare, security, the law, transportation, even technology itself. On February 11, 2019, the President...",Dataset,"November 12, 2020",000-000-091,Not available,NCO NITRD,Craig Schlenoff,Not available,2018-11-20,public,Not available
Training dataset for NABat Machine Learning V1.0,"Bats play crucial ecological roles and provide valuable ecosystem services, yet many populations face serious threats from various ecological disturbances. The North American Bat Monitoring Program (NABat) aims to assess...",Dataset,"June 1, 2023",USGS:627ed4b2d34e3bef0c9a2f30,Not available,U.S. Geological Survey,Brian E Reichert,http://datainventory.doi.gov/id/dataset/38892a365fcc6bd5310a54a754fe8e3c,20220707,public,Not available
"Data Supporting ""Seabird Tissue Archival and Monitoring Project (STAMP) Data from 1999-2010""",Here we provide curated analytical chemistry data for eggs collected from 1999 to 2010 on a subset of species and analytes that were measured regularly and reasonably systematically. Included in...,Not available,"November 29, 2021",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"High-Resolution Land Cover Maps of Lāna‘i, Hawai‘i, 2020","This dataset provides high-resolution, species-specific land cover maps for the Hawaiian island of Lāna'i based on 2020 WorldView-2 satellite imagery. Machine learning models were trained on extensive ground control polygons...",Dataset,"April 2, 2024",USGS:65023a30d34ed30c2058a838,Not available,U.S. Geological Survey,Lucas Berio Fortini,http://datainventory.doi.gov/id/dataset/31c94ee179cca02b52a56c1671cf2045,20231222,public,Not available
Chemicals and harmonized functions,Chemicals and harmonized functions -  dataset of chemicals mapped to a harmonized chemical function category.,Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Predict_Organ_Toxicity_ChemResTox_Data,"We use a supervised machine learning strategy to systematically investigate the relative importance of study type, machine learning algorithm, and type of descriptor on predicting in vivo repeat-dose toxicity at...",Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Multi-task Deep Learning for Water Temperature and Streamflow Prediction (ver. 1.1, June 2022)","This item contains data and code used in experiments that produced the results for Sadler et. al (2022) (see below for full reference). We ran five experiments for the analysis,...",Dataset,"June 1, 2023",USGS:604a8e0ad34eb120311b2fc9,Not available,U.S. Geological Survey,Jeffrey M. Sadler,http://datainventory.doi.gov/id/dataset/adb04762e2eb0a9604d9222d7b309441,20220621,public,Not available
Flow Redirection and Induction in Steady State (FLORIS) Wind Plant Power Production Data Sets,"This dataset contains turbine- and plant-level power outputs for 252,500 cases of diverse wind plant layouts operating under a wide range of yawing and atmospheric conditions. The power outputs were...",Dataset,"October 14, 2023",https://data.openei.org/submissions/5884,Not available,National Renewable Energy Laboratory,Ryan King,Not available,2024-01-02T18:23:00Z,public,2021-02-12T07:00:00Z
Segmentation of lipid nanoparticles from cryogenic electron microscopy images,"Lipid nanoparticles (LNPs) were prepared as described (https://doi.org/10.1038/s42003-021-02441-2) using the lipids DLin-KC2-DMA, DSPC, cholesterol, and PEG-DMG2000 at mol ratios of 50:10:38.5:1.5. Four sample types were prepared: LNPs in the presence...",Not available,"February 23, 2023",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Microplastic and nanoplastic chemical characterization by thermal desorption and pyrolysis mass spectrometry with unsupervised machine learning,"This data publication contains the mass spectrometry chemical characterization of microplastic and nanoplastic chemical analysis. The data from this study includes mass spectra of pure, mixed, and weathered microplastics and...",Dataset,"May 9, 2023",ark:/88434/mds2-2957,Not available,National Institute of Standards and Technology,Thomas P. Forbes,Not available,2023-03-24 00:00:00,public,2023-04-24
Estimated floodplain map for the conterminous United States,"Understanding the relationship between flood inundation and floodplains is critical for ecosystem and community health and well-being, as well as targeting floodplain and riparian restoration. Many communities in the United...",Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
ISA Literature screening dataset v.1,This dataset contains one instance of the information used in searching and screening peer-reviewed literature to identify references to be used in EPA's Integrated Science Assessments (ISAs). It is comprised...,Not available,"July 1, 2022",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Chemical product and function dataset,Merged product weight fraction and chemical function data.,Not available,"November 12, 2020",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Optical scattering measurements and simulation data for one-dimensional (1-D) patterned periodic sub-wavelength features,"This data set consists of both measured and simulated optical intensities scattered off periodic line arrays, with simulations based upon an average geometric model for these lines. These data were...",Not available,"March 11, 2021",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Predictive soil property map: Soil pH,These data were compiled to demonstrate new predictive mapping approaches and provide comprehensive gridded 30-meter resolution soil property maps for the Colorado River Basin above Hoover Dam. Random forest models...,Dataset,"June 1, 2023",USGS:5e90b3b482ce172707ed76f7,Not available,U.S. Geological Survey,Travis W Nauman,http://datainventory.doi.gov/id/dataset/bc60c913da8c9698ed1f311c0840af05,20200827,public,Not available
NASA open-source code projects with A.I.-generated tags,"A JSON that is used to build the content on code.nasa.gov. This JSON contains names, descriptions, links, and keyword tags for all NASA open-sourced code projects released through the SRA...",Dataset,"December 1, 2022",https://data.nasa.gov/api/views/3efg-u4v8,Not available,NASA,Justin Gosses,Not available,2023-01-31,public,2019-09-16
Process-guided deep learning water temperature predictions: 6a Lake Mendota detailed evaluation data,"This dataset includes ""test data"" compiled water temperature data from an instrumented buoy on Lake Mendota, WI and discrete (manually sampled) water temperature records from North Temperate Lakes Long-TERM Ecological...",Dataset,"June 1, 2023",USGS:5d925066e4b0c4f70d0d0599,Not available,U.S. Geological Survey,Jordan S. Read,http://datainventory.doi.gov/id/dataset/e86b0ca29c94a999483cfe3e6b178634,20200820,public,Not available
